Date,Return
01/25/2011, 0.0
03/15/2011,0.020993566836568972
04/26/2011,0.06222904250758851
06/21/2011,-0.02809100035491044
08/09/2011,-0.0879579132978977
09/20/2011,0.03280740469140132
11/01/2011,0.014616699320537488
12/12/2011,0.027258490822006282
01/24/2012,0.047742287333497446
03/13/2012,0.04556065209148408
04/24/2012,-0.023937938398518033
06/19/2012,-0.007442099007480659
07/31/2012,0.027979954375425272
09/12/2012,0.032615174388951784
10/23/2012,-0.02311001390737903
12/11/2012,0.011462655614886689
01/29/2013,0.05656827505545962
03/19/2013,0.03303064623012509
04/30/2013,0.026071715839860503
06/18/2013,0.03069136852517598
09/17/2013,0.0292717692072765
10/29/2013,0.04608503067920625
12/17/2013,-0.0035376141757341288
01/28/2014,0.003793933895575637
03/18/2014,0.03810240865815502
04/29/2014,0.03651765036575566
06/17/2014,0.0377341452013202
07/29/2014,0.0027827579808671517
09/16/2014,0.005840765325812419
10/28/2014,-0.012077208605109998
12/16/2014,-0.024527819088380465
01/27/2015,0.03186868989680709
03/17/2015,0.004772905551440809
06/16/2015,0.00857788271916372
07/28/2015,-0.008918601202049908
09/16/2015,-0.040734639180352736
10/27/2015,0.041447366273953914
12/15/2015,-0.024634060396415577
01/26/2016,-0.05282635209262268
03/15/2016,0.08352328009465128
